index,_id,ID,x,y,group,status,time
5247998,60cd09921176d15ea268ffd4,0000021800000218,4663,292,2,0,2021/06/18 23:00:40:185
5248024,60cd09941176d15ea268ffee,0000021800000218,4664,292,2,0,2021/06/18 23:00:41:329
5248052,60cd09951176d15ea269000a,0000021800000218,4666,290,2,0,2021/06/18 23:00:42:495
5248142,60cd09981176d15ea2690064,0000021800000218,4667,291,2,0,2021/06/18 23:00:44:811
5248172,60cd09991176d15ea2690082,0000021800000218,4668,290,2,0,2021/06/18 23:00:45:956
5248210,60cd099b1176d15ea26900a8,0000021800000218,4668,291,2,0,2021/06/18 23:00:49:467
5248221,60cd099b1176d15ea26900b3,0000021400000214,6032,1437,2,4,2021/06/18 22:54:33:883
5248250,60cd099c1176d15ea26900d0,0000021800000218,4665,298,2,0,2021/06/18 23:00:50:607
5248294,60cd099d1176d15ea26900fc,0000021800000218,4652,308,2,0,2021/06/18 23:00:51:679
5248382,60cd099f1176d15ea2690154,0000021800000218,4654,305,2,0,2021/06/18 23:00:52:920
5248420,60cd09a01176d15ea269017a,0000021800000218,4655,304,2,0,2021/06/18 23:00:54:109
5248424,60cd09a01176d15ea269017e,0000021800000218,4657,302,2,0,2021/06/18 23:00:55:232
5248468,60cd09a11176d15ea26901aa,0000021800000218,4659,301,2,0,2021/06/18 23:00:57:554
5248552,60cd09a41176d15ea26901fe,0000021800000218,4661,300,2,0,2021/06/18 23:00:58:702
5248596,60cd09a51176d15ea269022a,0000021800000218,4661,301,2,0,2021/06/18 23:00:59:905
5248640,60cd09a61176d15ea2690256,0000021800000218,4661,301,2,0,2021/06/18 23:01:01:016
5248688,60cd09a71176d15ea2690286,0000021800000218,4664,297,2,0,2021/06/18 23:01:02:218
5248730,60cd09a81176d15ea26902b0,0000021800000218,4649,309,2,0,2021/06/18 23:01:03:246
5248772,60cd09aa1176d15ea26902da,0000021800000218,4652,308,2,0,2021/06/18 23:01:04:529
5248858,60cd09ac1176d15ea2690330,0000021800000218,4654,307,2,0,2021/06/18 23:01:06:815
5248900,60cd09ad1176d15ea269035a,0000021800000218,4656,305,2,0,2021/06/18 23:01:07:983
5248944,60cd09ae1176d15ea2690386,0000021800000218,4656,306,2,0,2021/06/18 23:01:09:143
